     LU2000_ne240-ne240   LU1850_ne240-ne240
    0       4.53      4.54
    1      17.34     19.48
    2      -0.53     -0.53
    3       2.49      3.27
    4       1.93      1.54
    5       0.00      0.00
    6       0.32      0.49
    7       2.09      2.60
    8       0.39      0.28
    9       3.14      3.29
   10      -1.58     -1.74
   11       2.52      3.81
   12      21.18     20.25
