     LU2000_ne240-ne240   LU1850_ne240-ne240
    0       0.44      0.45
    1       5.98      2.18
    2       0.31      0.44
    3       4.11      1.50
    4       0.25      0.36
    5       0.00      0.00
    6       0.17      0.30
    7       2.79      1.26
    8       0.45      0.53
    9       4.26      2.63
   10       0.37      0.54
   11       5.32      1.94
   12       6.98      6.82
