     LU2000_ne240-ne240   LU1850_ne240-ne240
    0      38.83     37.92
    1       5.72      8.07
    2       6.81      7.27
    3       1.74      0.64
    4       6.47      6.89
    5       0.00      0.00
    6       7.65      7.86
    7       1.30      1.03
    8       6.72      6.95
    9       2.31      1.47
   10       6.23      7.18
   11       1.29      1.15
   12      54.08     56.99
