     LU2000_ne240-ne240   LU1850_ne240-ne240
    0       0.50      0.45
    1      13.65     10.76
    2       0.79      0.80
    3       1.11      0.88
    4       0.77      0.75
    5       0.00      0.00
    6       0.78      0.76
    7       0.85      0.86
    8       0.65      0.74
    9       1.24      0.82
   10       0.95      0.89
   11       0.65      1.11
   12      21.98     21.45
