     LU2000_ne240-ne240   LU1850_ne240-ne240
    0       2.68      2.66
    1       1.31      2.37
    2       0.03      0.10
    3       1.28      0.91
    4       0.04      0.10
    5       0.00      0.00
    6       0.10      0.14
    7       1.33      0.84
    8       0.12      0.13
    9       2.05      1.69
   10      -0.14      0.01
   11       1.50      2.24
   12      36.21     39.21
